id,branche,bran_4,filter,ost,gb,bges,gk3n,bhsp,bhspno,um,umx,lp,lpx,exs,exsx,exno,umpr1,pd,pz,pdpp,pddl,umneu,umunw,mneu,mneup,pzfv,pzlv,pziv,pzua,pzgp,pzao,pzmm,rek,rekp,pn,pa,pok,fuekon,fuesp,fuespx,fueint,fueext,fueexti,fueexta,fueoef,fueoefmno,iafueno,iavfueno,iavfueewr,iavfueso,iasono,ias,iasx,iainvs,iainvsx,iafues,iafuesx,iavfues,iavfuesx,iasos,iasosx,fue_bkosts,fue_bkostsx,fues,fuesx,fueoefms,fueoefmsx,iagesno,iainvno,pdz2022,pdz2023,iae2022,iae2023,iap2022,iap2022x,iap2023,iap2023x,uk1z,uk1r,uk1s,uk1l,uk2k,uk2m,uk2e,uk2i,uk3v,uk3a,uk3l,uk3r,uk4z,uk4s,uk4w,uk4b,ghvar,ghf1,ghf2,ghf3,ghe1,ghe2,ghe3,ghp1,ghp2,ghvarp,maein1,maein2,maein3,maein4,maein5
348742,Metals,Other Industry,no,no,,13.46353554725647,<50 employees,x=0,yes,1.101561999320984,No truncation,.075000003,No truncation,0,No truncation,yes,70<=x<80,no,yes,no,no,,,,,no,no,no,yes,no,yes,no,no,x=0,yes,yes,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,not known yet,not known yet,unknown,unknown,,,,,2,3,3,1,1,3,2,3,2,2,2,3,3,1,2,2,,no,no,no,no,no,no,no,no,,no,no,no,no,no
348814,Mining,Other Industry,yes,no,,17.00316071510315,<50 employees,50<=x<75,no,2.488267421722412,No truncation,.13636364,No truncation,0,No truncation,yes,30<=x<40,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,2,1,2,2,3,2,3,3,1,1,1,1,1,1,1,no,,,,,,,,,,no,no,no,no,no
348820,Media services,Knowledge-intensive Services,no,no,Sector,17.39810317754745,<50 employees,30<=x<50,no,9.858420841097832,No truncation,.50125641,No truncation,0,No truncation,yes,60<=x<70,yes,yes,yes,no,0<x<5,75<=x<=100,no,x=0,no,no,no,no,no,yes,no,no,x=0,no,no,no,never,,,no,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,planned,not known yet,increase,unknown,,,,,3,4,2,1,3,2,1,4,3,1,2,4,1,3,2,4,yes,yes,yes,no,yes,no,no,yes,no,0<x<10,yes,no,no,no,no
349006,Plastics,Other Industry,no,no,Sector,8.050704956054688,<50 employees,x=0,yes,.92008056640625,No truncation,.1,No truncation,,,,70<=x<80,yes,yes,,,10<=x<15,75<=x<=100,no,x=0,no,no,yes,no,no,yes,no,no,x=0,no,no,no,never,,,no,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,not known yet,not known yet,unknown,,,,,,1,4,2,3,3,4,1,2,3,2,1,4,4,1,2,3,no,,,,,,,,,,no,no,yes,yes,yes
349042,Furniture/Toys/Medical technology/Maintenance,Other Industry,no,no,,10.0378931760788,<50 employees,20<=x<30,no,2.393651449680328,No truncation,.22142857,No truncation,0,No truncation,yes,90<=x<=100,yes,yes,,,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,no,.0016129032,No truncation,.0016129032,No truncation,0,No truncation,0,No truncation,.0016129032,No truncation,,,0,No truncation,,,nein,no,No,not known yet,,unknown,,,,,1,3,4,2,2,3,1,4,3,2,1,4,4,1,3,2,no,,,,,,,,,,no,no,no,no,no
349093,Energy/Water,Other Industry,yes,no,,6.588205546140671,<50 employees,20<=x<30,no,1.822220145761967,No truncation,.2351,No truncation,0,No truncation,yes,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,4,3,2,1,4,2,3,3,1,2,4,4,1,3,2,no,,,,,,,,,,yes,no,no,no,no
349189,Wood/Paper,Other Industry,yes,no,,6.360724985599518,<50 employees,x=0,yes,.506291157192409,No truncation,.06735085,No truncation,.014637472,No truncation,no,90<=x<=100,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,,,,,,,,2,3,2,2,2,4,2,4,4,1,2,2,2,1,4,2,no,,,,,,,,,,no,no,no,no,no
349243,Mining,Other Industry,no,yes,Sector,85.66416800022125,50-249 employees,5<=x<10,no,10.85810462236404,No truncation,.083389476,No truncation,0,No truncation,yes,70<=x<80,yes,yes,yes,yes,15<=x<20,75<=x<=100,no,x=0,no,no,yes,no,no,no,no,yes,0<x<5,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,,,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,0,No truncation,,,,yes,not known yet,not known yet,unknown,unknown,,,,,2,4,2,2,3,2,1,2,2,2,2,2,2,2,3,1,no,,,,,,,,,,yes,no,no,no,no
349273,Metals,Other Industry,yes,yes,,9.798155426979065,<50 employees,15<=x<20,no,.7074268218278884,No truncation,.065636367,No truncation,.038781162,No truncation,no,70<=x<80,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,yes,yes,,,yes,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,0,No truncation,,,ja,yes,No,No,,,,,,,1,4,3,2,2,3,1,4,3,1,2,4,3,1,4,2,yes,no,yes,no,yes,no,no,no,yes,x=0,no,no,no,no,no
349372,Mining,Other Industry,yes,yes,Sector,11.68090403079987,<50 employees,20<=x<30,no,4.162295469641685,No truncation,.33406249,No truncation,0,No truncation,yes,70<=x<80,no,no,no,no,,,,,no,no,no,no,no,no,no,,,no,no,no,never,,,no,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,1,4,2,3,3,2,1,4,4,1,2,3,2,1,3,4,no,,,,,,,,,,no,no,yes,no,no
